,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
Creation_B,0.0040799141,0.0074926376,0.0104188919,0.0147304535,0.0182912350,0.0227955818,0.0265066624,0.0304029942,0.0359301090,0.0398717403,0.0430121422,0.0478422642,0.0525581360,0.0569298267,0.0611882210,0.0662902832,0.0694218636,0.0763511181,0.0777117252,0.0831627369
Search_A,0.0580030441,0.1769890785,0.3927890301,0.7154350758,1.0912916660,1.5742928028,2.1402818680,2.7786334038,3.5344562531,4.3634362221,5.2619740009,6.2656570435,7.3776454926,8.5569758892,9.7924404144,11.1315562248,12.5889571667,14.0802796841,15.7431794167,17.4047279835
Search_B,0.0039489269,0.0075757027,0.0121905804,0.0171226978,0.0220200062,0.0267930984,0.0319115162,0.0364289284,0.0422406197,0.0473275661,0.0528895378,0.0583114624,0.0634987831,0.0690026760,0.0743086338,0.0797502041,0.0852955818,0.0909752846,0.0968749046,0.1021724224
Creation_Tree_A,0.0032395840,0.0057502747,0.0088457584,0.0137146950,0.0171201706,0.0210894585,0.0238554478,0.0293132305,0.0342810631,0.0368432999,0.0406287670,0.0455917358,0.0525560379,0.0535159588,0.0593146324,0.0636501789,0.0693205833,0.0730154037,0.0802421570,0.0806787014
Creation_Tree_B,0.0020813465,0.0045972347,0.0070055485,0.0096749306,0.0123321533,0.0161094666,0.0205074787,0.0217331409,0.0251322269,0.0282295227,0.0346045971,0.0341404915,0.0374080181,0.0410087585,0.0450174809,0.0496670246,0.0495325089,0.0536751747,0.0616620064,0.0738101006
Search_Tree_A,0.0024803162,0.0052908421,0.0084271908,0.0124205112,0.0154263496,0.0190159798,0.0225129604,0.0273669243,0.0309039116,0.0350992680,0.0388183117,0.0421743393,0.0477985859,0.0494324684,0.0545623302,0.0588071823,0.0640639782,0.0683040619,0.0737302303,0.0779719830
Search_Tree_B,0.0018844604,0.0039511681,0.0063227654,0.0087776184,0.0112461567,0.0139142513,0.0165072441,0.0187515736,0.0217376232,0.0243051529,0.0269826412,0.0298608303,0.0326733112,0.0355318069,0.0381535530,0.0411116123,0.0435657501,0.0468106747,0.0499357700,0.0527621746
Depth_A,20.6000000000,25.0000000000,26.0000000000,27.6000000000,28.6000000000,29.6000000000,28.0000000000,32.4000000000,30.8000000000,31.4000000000,31.2000000000,32.6000000000,32.8000000000,31.4000000000,34.0000000000,32.2000000000,33.4000000000,32.4000000000,33.8000000000,34.8000000000
Depth_B,10.0000000000,11.0000000000,12.0000000000,12.0000000000,13.0000000000,13.0000000000,13.0000000000,13.0000000000,14.0000000000,14.0000000000,14.0000000000,14.0000000000,14.0000000000,14.0000000000,14.0000000000,14.0000000000,15.0000000000,15.0000000000,15.0000000000,15.0000000000
