,6,7,8,9
PD_25,0.0000123978,0.0000171661,0.0000338554,0.0000503063
GH1_25,0.0000107288,0.0000078678,0.0000066757,0.0000071526
GH2_25,0.0000104904,0.0000071526,0.0000083447,0.0000085831
GH3_25,0.0000071526,0.0000057220,0.0000073910,0.0000069141
GH4_25,0.0000121593,0.0000114441,0.0000121593,0.0000143051
GH1_25_BLAD,0.8281826026,0.3598615917,0.9356072101,0.5873553979
GH2_25_BLAD,0.0649070515,0.5722158144,0.0502215209,0.0816062629
GH3_25_BLAD,0.0000000000,0.3598615917,0.2921041452,0.0791947716
GH4_25_BLAD,0.0649070515,0.3598615917,0.0000000000,0.0816062629
PD_50,0.0000314713,0.0000591278,0.0001053810,0.0002133846
GH1_50,0.0000109673,0.0000092983,0.0000133514,0.0000090599
GH2_50,0.0000102520,0.0000071526,0.0000092983,0.0000138283
GH3_50,0.0000052452,0.0000054836,0.0000078678,0.0000071526
GH4_50,0.0000121593,0.0000121593,0.0000126362,0.0000143051
GH1_50_BLAD,0.0468160081,0.3620406108,0.6468594785,0.5259222333
GH2_50_BLAD,0.0187515731,0.3474408458,0.0002845613,0.0911340054
GH3_50_BLAD,0.1857538384,0.2102030542,0.0737531043,0.3127284812
GH4_50_BLAD,0.0655675812,0.0087934217,0.0475734685,0.0340460101
PD_75,0.0000441074,0.0000858307,0.0001752377,0.0003604889
GH1_75,0.0000152588,0.0000140667,0.0000281334,0.0000205040
GH2_75,0.0000076294,0.0000076294,0.0000088215,0.0000092983
GH3_75,0.0000071526,0.0000066757,0.0000076294,0.0000064373
GH4_75,0.0000123978,0.0000119209,0.0000140667,0.0000154972
GH1_75_BLAD,0.0691939179,0.4177341725,0.3887865317,0.1171045763
GH2_75_BLAD,0.0000000000,0.0000000000,0.0522134514,0.1662123233
GH3_75_BLAD,0.0000000000,0.0000000000,0.0000000000,0.1104730971
GH4_75_BLAD,0.0000000000,0.0000000000,0.0000000000,0.0000000000
